Word	GTruth
ఎత్తుపల్లాలలో	ఎత్తుపల్లం
ఎత్తుపల్లాలు	ఎత్తుపల్లం
ఎదుగుతాడు	ఎదుగు
ఎదుగుదలకు	ఎదుగు
ఎదుటి	ఎదురు
ఎదురుగా	ఎదురు
ఎదురైతే	ఎదురు
ఎదుర్కొంటారు	ఎదుర్చు
ఎదుర్కోగలం	ఎదురు
ఎదుర్కోవడం	ఎదురు
ఎదుర్కోవాలి	ఎదురు
ఎన్నో	ఎన్ని
ఎప్పుడంటే	ఎప్పుడు
ఎప్పుడూ	ఎప్పుడు
ఎప్పుడొస్తామో	ఎప్పుడు
ఎలా	ఎలా
ఎలాంటి	ఎలా
ఎవరి	ఎవరు
ఎవరికి	ఎవరు
ఎవరు	ఎవరు
ఎవరూ	ఎవరు
ఎవరో	ఎవరు
ఎవర్నీ	ఎవరు
ఎస్‌	ఎస్‌
ఏ	ఏ
ఏం	ఏం
ఏంటి	ఏంటి
ఏంటిరా	ఏంటి
ఏంటో	ఏంటి
ఏంది	ఏంటి
ఏందే	ఏంటి
ఏడవకు	ఏడుపు
ఏడిస్తే	ఏడుపు
ఏడుపు	ఏడుపు
ఏడుస్తూ	ఏడుపు
ఏది	ఏది
ఏదేదో	ఏది
ఏదైనా	ఏది
ఏదో	ఏది
ఏమరపాటు	ఏమరపాటు
ఏమరుపాటు	ఏమరుపాటు
ఏమిటి	ఏమి
ఏమీ	ఏమీ
ఏమో	ఏమీ
ఏయ్	ఏయ్
ఏర్పాట్లు	ఏర్పాటు
ఏళ్ల	ఏళ్ళు
ఏళ్లకే	ఏళ్ళు
ఐ	ఐ
ఐడెంటిటీ	ఐడెంటిటీ
ఒంగి	ఒంగి
ఒక	ఒక
ఒకటి	ఒక
ఒకడు	ఒక
ఒకరికి	ఒకరు
ఒకరు	ఒక
ఒకళ్ల	ఒక
ఒకళ్లు	ఒక
ఒకే	ఒక
ఒకో	ఒక
ఒక్క	ఒక్క
ఒక్కటే	ఒక్క
ఒక్కడే	ఒక్క
ఒక్కరూ	ఒక్క
ఒడిదుడుకులను	ఒడిదుడుకు
ఒడిదుడుకులు	ఒడిదుడుకు
ఒడిసి	ఒడిసి
ఒత్తిడితో	ఒత్తిడి
ఒద్దు	ఒద్దు
ఒరేయ్	ఒరేయ్
ఓ	ఓ
ఓటమి	ఓటమి
ఓటమిగా	ఓటమి
ఓటమిని	ఓటమి
ఓదార్పుగా	ఓదార్చు
ఔటర్‌రింగ్‌	ఔటర్‌రింగ్‌
కచ్చితంగా	కచ్చితం
కట్టడి	కట్టడి
కట్టడీ	కట్టడీ
కట్టుగా	కట్టు
కట్టుబాట్లలో	కట్టుబాట్లు
కదలదు	కదులు
కదా	కద
కదిలి	కదులు
కదిలింది	కదులు
కనిపించడం	కనిపించు
కనిపెట్టాడు	కనిపెట్టు
కన్నా	కన్న
కన్నీరు	కన్నీరు
కన్నీళ్లు	కన్నీరు
కన్పిస్తారు	కన్పించు
కన్యక	కన్య
కప్పుకుని	కప్పు
కప్పేస్తూ	కప్పు
కర్తవ్యం	కర్తవ్యము
కలకత్తాలో	కలకత్తా
కలకత్తాలోని	కలకత్తా
కలిగే	కల
కలిసి	కలువు
కల్గిస్తుంది	కల్గు
కళలు	కళ
కళాశాల	కళాశాల
కళాశాలలు	కళాశాల
కళాశాలలో	కళాశాల
కళ్ల	కళ్లు
కళ్లు	కళ్లు
కష్టం	కష్టం
కష్టాల	కష్టం
కసిగా	కసి
కసురుతూ	కసురు
కాంతి	కాంతి
కాకుండా	కాకుండా
కాగానే	కాగా
కాదని	కాదు
కాదా	కాదు
కాదు	కాదు
కానీ	కానీ
కాము	కామ
కారణం	కారణం
కారణంగా	కారణం
కారణాలు	కారణము
కారు	కారు
కారుకి	కారు
కారుని	కారు
కారురా	కారు
కార్చని	కార్చు
కార్యక్రమం	కార్యక్రమం
కార్లు	కారు
కాలక్షేపం	కాలక్షేపం
కాలికి	కాలు
కాలు	కాలు
కాలేజీ	కాలేజీ
కాలేజీలో	కాలేజీ
కాళ్లను	కాలు
కాళ్లు	కాలు
కాళ్లెత్తి	కాలు
కావచ్చు	కావచ్చు
కావడం	కావడం
కావడంతో	కావడం
కావలసింది	కావాలి
కావాలంటే	కావాలి
కావాలండి	కావాలి
కావాలని	కావాలి
కావాలా	కావాలి
కావాలి	కావాలి
కాసేపు	కాసేపు
కాస్త	కాస్త
కింద	కింద
కిందికి	కింద
కిటికీలోంచి	కిటికీ
కిరాయి	కిరాయి
కుంగిపోక	కుంగిపోవు
కుండపోతగా	కుండపోత
కుంతల	కుంతల
కుదుపుతో	కుదుపు
కుదుపునకు	కుదుపు
కుదురుగా	కుదురు
కునుకు	కునుకు
కురిసిన	కురువు
కురుస్తున్న	కురువు
కురుస్తోంది	కురువు
కుర్చీ	కుర్చీ
కూడా	కూడా
కూతురు	కూతురు
కూతురైనా	కూతురు
కూర్చుంటే	కూర్చు
కూర్చుంది	కూర్చు
కూర్చుని	కూర్చు
కూర్చున్న	కూర్చొను
కూర్చున్నాడు	కూర్చు
కూర్చున్నారు	కూర్చు
కృషి	కృషి
కృష్ణా	కృష్ణా
కెరటాలకు	కెరటం
కెరటాలు	కెరటం
కెరటాల్ని	కెరటం
కెవ్వుమంటూ	కెవ్వు
కెవ్వుమంది	కెవ్వు
కేంద్రీయ	కేంద్ర
కేరెక్టర్	కేరెక్టర్
కేర్‌	కేర్‌
కొంచెం	కొంచెం
కొంత	కొంత
కొందరు	కొందరు
కొట్టాను	కొట్టు
కొట్టింది	కొట్టు
కొట్టిన	కొట్టు
కొడకా	కొడుకు
కొడతాను	కొట్టు
కొడుకు	కొడుకు
కొడుతున్నాడు	కొట్టు
కొత్త	కొత్త
కొద్ది	కొద్ది
కొనసాగుతాయి	కొనసాగు
కొని	కొను
కొన్ని	కొన్ని
కొలతలని	కొలత
కొలతలు	కొలత
కొలబద్దనే	కొలబద్ద
కొలమా	కొలమానం
కొలమానాన్ని	కొలమానం
కొలిచి	కొలుచు
కొలిచే	కొలత
కొలిచేది	కొలుచు
కొలుచుకుంటారు	కొలుచు
కొలుస్తాను	కొలుచు
కోట్లకి	కోట్లు
కోపం	కోపం
కోరి	కోరిక
కోరింది	కోరిక
కోరుకోవడం	కోరుకొను
కోలాహలం	కోలాహలం
కోసం	కోసం
కోసమే	కోసము
కోసమో	కోసము
కౌన్సిలింగ్‌	కౌన్సిల్‌
క్రమశిక్షణ	క్రమశిక్షణ
క్రీడాకారులకు	క్రీడా
క్రూర	క్రూర
క్రెస్కోగ్రాఫ్	క్రెస్కోగ్రాఫ్
క్రైమ్	క్రైమ్
క్రైసిస్‌	క్రైసిస్‌
క్లాస్‌లో	క్లాస్‌
క్షణం	క్షణం
క్షణాల్లోనే	క్షణం
క్షేమంగా	క్షేమం
ఖాళీగా	ఖాళీ
ఖ్యాతిని	ఖ్యాతి
గంటల	గంట
గంటలకి	గంట
గండం	గండం
గందరగోళంగా	గందరగోళము
గజాలు	గజం
గట్టి	గట్టి
గట్టిగా	గట్టి
గడించాడు	గడించు
గడించాలంటే	గడించు
గడిచింది	గడించు
గణాంక	గణాంక
గత	గత
గమనించండి	గమనించు
గమనించి	గమనించు
గమనించిన	గమనించు
గమనించినా	గమనించు
గల	గల
గాక	గాక
గాజు	గాజు
గానీ	గానీ
గాయం	గాయం
గిచ్చి	గిచ్చు
గిలగిలా	గిలగిల
గీత	గీత
గీశాడు	గీయు
గుండెల	గుండె
గుంపు	గుంపు
గుచ్చుకుని	గుచ్చు
గుణం	గుణం
గుద్దాడు	గుద్దు
గుద్దింది	గుద్దు
గురించి	గురించి
గుర్తించే	గుర్తించు
గుర్తు	గుర్తు
గుర్తుంచుకోవాలి	గుర్తు
గుర్తుగా	గుర్తు
గెలిచినట్టు	గెలుపు
గెలుపుగా	గెలుపు
గైడ్‌ని	గైడ్
గొంతుతో	గొంతు
గొప్పవారో	గొప్ప
గోడ	గోడ
గోడకి	గోడ
గోతిలో	గోతి
గోలా	గోల
గోళ్లు	గోరు
గౌరవం	గౌరవం
గౌరవించింది	గౌరవించు
గ్రంథాలు	గ్రంథము
గ్రామ	గ్రామం
గ్రామదేవత	గ్రామదేవత
గ్రామస్థులందరూ	గ్రామస్థి
గ్రామస్థులతో	గ్రామస్థి
గ్రామస్థులు	గ్రామస్థి
గ్లాస్	గ్లాసు
ఘోరానికి	ఘోరము
ఘోరాలు	ఘోరము
చంద్రబోస్	చంద్రబోస్
చచ్చాడో	చచ్చెను
చదివారు	చదువు
చదివే	చదువు
చదివేది	చదివేది
చదువు	చదువు
చదువుకున్న	చదువు
చదువుకున్నా	చదువు
చదువుకున్నారు	చదువు
చదువుకోవాలి	చదువు
చదువుతూ	చదువు
చనిపోతున్న	చనిపోవు
చనిపోయిన	చనిపోవు
చప్పట్లు	చప్పట్లు
చరిచి	చరుచు
చరిత్ర	చరిత్ర
చరిత్రలో	చరిత్ర
చర్చిస్తుండగా	చర్చ
చర్యలకూ	చర్య
చల్లగా	చల్ల
చల్లుతున్నాడు	చల్లు
చాక్‌పీస్‌తో	చాక్‌పీస్‌
చాచి	చాచి
చాలా	చాలా
చాలామంది	చాలామంది
చాలాసార్లు	చాలా
చావడు	చావు
చిందరవందరగా	చిందరవందర
చికాకొచ్చింది	చికాకు
చిక్కగా	చిక్క
చిక్కటి	చిక్క
చిక్కుకుంటూనే	చిక్కు
చిత్తశుద్ధితో	చిత్తశుద్ధి
చిన్న	చిన్న
చిన్నతనం	చిన్న
చిన్నప్పటి	చిన్న
చిరాగ్గా	చిరాకు
చిరాయువు	చిరాయువు
చిరు	చిరు
చిర్రెత్తింది	చిర్రెత్తు
చిల్లర	చిల్లర
చివరకు	చివర
చీకటిగా	చీకటి
చీకట్లో	చీకటి
చుట్టూ	చుట్టూ
చున్నీ	చున్నీ
చురుగ్గా	చురుకు
చూడక	చూడు
చూడాల్సి	చూడు
చూడొద్దు	చూడు
చూద్దాం	చూడు
చూశాడు	చూడు
చూసి	చూడు
చూసినా	చూడు
చూసుకుంటాడు	చూడు
చూసుకున్నారు	చూడు
చూసుకోండి	చూడు
చూస్తుంటే	చూడు
చూస్తున్నారు	చూడు
చూస్తూ	చూడు
చూస్తే	చూడు
చెట్లు	చెట్టు
చెడు	చెడు
చెడుని	చెడు
చెడో	చెడు
చెడ్డవారికి	చెడు
చెడ్డవారు	చెడు
చెప్తుంటే	చెప్పు
చెప్పగానే	చెప్పు
చెప్పడంతో	చెప్పు
చెప్పమని	చెప్పు
చెప్పాడు	చెప్పు
చెప్పారు	చెప్పు
చెప్పాలి	చెప్పు
చెప్పింది	చెప్పు
చెప్పినా	చెప్పి
చెప్పు	చెప్పు
చెప్పుతో	చెప్పు
చెప్పే	చెప్పు
చెప్పేది	చెప్పు
చెబుతూ	చెప్పు
చెబుతూనే	చెప్పు
చెయ్యడం	చెయ్యి
చెయ్యని	చెయ్యి
చెలరేగే	చెలరేగు
చెల్లించాలి	చెల్లించు
చెల్లెలికన్నా	చెల్లెలు
చెల్లెలు	చెల్లెలు
చెల్లెళ్లు	చెల్లెలు
చెవిలో	చెవి
చెవులను	చెవి
చేకూర్చి	చేకూరు
చేతల	చేత
చేతికందగానే	చేతికందగానే
చేతిని	చేతి
చేతిలో	చేతి
చేతుల	చేతి
చేతులు	చేతి
చేతులూ	చేతి
చేతుల్తో	చేతి
చేతుల్లో	చేతి
చేత్తో	చేతి
చేద్దాం	చేయు
చేయండి	చేయు
చేయక	చేయు
చేయకూడదు	చేయు
చేయడమే	చేయు
చేయడానికి	చేయు
చేయబోవడం	చేయు
చేయాలని	చేయు
చేయాలి	చేయు
చేయాలో	చేయు
చేయి	చేయి
చేరతాం	చేరు
చేరాక	చేరు
చేశాడు	చేయు
చేసాడు	చేయు
చేసి	చేయు
చేసింది	చేయు
చేసిన	చేయు
చేసుకుంటారు	చేయు
చేసుకుని	చేయు
చేసుకున్న	చేయు
చేసుకోండి	చేయు
చేసే	చేయు
చేసేది	చేస
చేస్తాయి	చేయు
చేస్తారు	చేయు
చేస్తుందంటారు	చేస్తుంది
చేస్తున్నట్లు	చేయు
చేస్తున్నాడు	చేయు
చేస్తున్నారు	చేయు
చేస్తూ	చేయు
చొరవ	చొరవ
చోటుకి	చోటు
జంతువుల	జంతువు
జంతువులేవో	జంతువు
జంతువుల్లో	జంతువు
జగదీశ్	జగదీశ్
జగదీశ్‌చంద్ర	జగదీశ్‌చంద్ర
జట్టుగా	జట్టు
జత	జత
జనం	జనం
జనాన్ని	జనాభా
జన్మించాడు	జన్మ
జయప్రదంగా	జయప్రదం
జరగబోయే	జరగు
జరగాల్సిన	జరగు
జరిగింది	జరగు
జరిగిన	జరగు
జరిగినపుడు	జరుగు
జరిగినవెన్నో	జరుగు
జరిగిపోతాయి	జరుగు
జరిగిపోతుంది	జరగు
జరిగేవి	జరగు
జరిపి	జరగు
జరిపే	జరుగు
జర్రున	జర్రున
జలపాతం	జలపాతం
జల్లు	జల్లు
జవాబు	జవాబు
జాగ్రత్త	జాగ్రత్త
జాగ్రత్తగా	జాగ్రత్త
జాగ్రత్తలు	జాగ్రత్త
జాగ్రత్తలే	జాగ్రత్త
జాడించి	జాడించు
జాతీయ	జాతీయ
జాబితా	జాబితా
జారిపోవడమే	జారిపడు
జీవ	జీవము
జీవికి	జీవి
జీవితం	జీవితం
జీవితంలో	జీవితం
జీవితాలు	జీవిత
జీవితాల్లో	జీవితం
జోరు	జోరు
జ్ఞానం	జ్ఞానం
టి	టి
టీ	టీ
టీచర్	టీచరు
టీనేజీ	టీనేజీ
టీవీలో	టీవీ
టూర్లకి	టూర్
టూర్‌కి	టూర్‌
డబ్బు	డబ్బు
డాక్టర్	డాక్టర్
డూస్‌	డూస్‌
డోంట్‌	డోంట్‌
డోన్ట్స్‌	డోన్ట్స్‌
డోర్	డోర్
తండ్రి	తండ్రి
తండ్రిని	తండ్రి
తక్కువగా	తక్కువ
తగదు	తగదు
తగిన	తగిన
తగిలి	తగులు
తగిలింది	తగులు
తగిలిన	తగులు
తట్టాడు	తట్టు
తట్టి	తట్టు
తట్టుకునేలా	తట్టు
తన	తన
తనని	తన
తనను	తన
తను	తను
తపిస్తుంటారు	తపించు
తప్ప	తప్ప
తప్పటం	తప్ప
తప్పారో	తప్ప
తప్పించుకోవడం	తప్పు
తప్పిస్తాయి	తప్పు
తప్పు	తప్పు
తప్పుడు	తప్పు
తప్పుపట్టే	తప్పు
తప్పుల	తప్పు
తమ	తమ
తమలోని	తమ
తమాయించుకుంటూ	తమాయించు
తయారు	తయారు
తరచు	తరచు
తరవాత	తరవాత
తరహా	తరహా
తరాలకు	తరం
తరువాత	తరవాత
తర్వాత	తర్వాత
తల	తల
తలకి	తల
తల్లిదండ్రుల	తల్లితండ్రి
తల్లీ	తల్లి
తాగి	తాగు
తాగుదాం	తాగు
తాత్కాలిక	తాత్కాలిక
తాను	తాను
తాము	తాము
తిడుతూ	తిట్టు
తిప్పాడతను	తిప్పు
తిప్పాడు	తిప్పు
తిప్పి	తిప్పు
తిరగలేదు	తిరుగు
తిరిగి	తిరుగు
తీయి	తీయు
తీసి	తీయు
తీసినా	తీయు
తీసుకుంటారు	తీసుకొను
తీసుకుని	తీసుకొను
తీసుకురమ్మన్నారు	తీసుకొను
తీసుకురా	తీసుకు
తీసుకోవడాకి	తీసుకోను
తీసుకోవాలి	తీసుకు
తీసుకోవాల్సిన	తీసుకు
తీసే	తీయు
తీస్తారు	తీయు
తుడుచుకుంటూ	తుడుచు
తూనికలు	తూనిక
తెగింపు	తెగించు
తెచ్చాడు	తెచ్చు
తెచ్చుకుంటారు	తెచ్చు
తెచ్చుకుంటూ	తెచ్చు
తెచ్చుకునేలా	తెచ్చు
తెరిచాడు	తెరుచు
తెరిచి	తెరుచు
తెలిపారు	తెలుపు
తెలియక	తెలియు
తెలియదు	తెలియదు
తెలివి	తెలివి
తెలివికి	తెలివి
తెలివితేటలు	తెలివి
తెలివిని	తెలివి
తెలివిలో	తెలివి
తెలివైన	తెలివి
తెలిసి	తెలియు
తెలిసిన	తెలియు
తెలిస్తే	తెలియు
తెలీదు	తెలియు
తెలుసు	తెలియు
తెలుసుకుంటుండాలి	తెలియు
తెలుసుకుని	తెలియు
తెలుసుకునేలోపే	తెలుసుకొను
తెలుసుకున్నామా	తెలుసుకొను
తెలుసుకొనడానికి	తెలియు
తెలుసుకోవడం	తెలియు
తెలుసుకోవడానికి	తెలియు
తెలుసుకోవాలి	తెలుసు
తెలుస్తుంది	తెలియు
తెల్లవారితే	తెల్లవారు
తెల్లారిందాకా	తెల్లవారు
తెల్లారేసరికి	తెల్లవారు
తెల్వదా	తెలియు
తెల్సినా	తెలియు
తేడా	తేడా
తేడాగా	తేడా
తేల్చండి	తేలుచు
తొక్కాడు	తొక్కు
తొడ	తొడ
తొలగాడు	తొలగు
తోచిన	తోచిన
తోడయింది	తోడు
తోడు	తోడు
తోడుగా	తోడు
తోస్తూ	తీయు
త్వరగానే	త్వరగా
దగ్గర	దగ్గర
దగ్గరకు	దగ్గర
దగ్గరికి	దగ్గర
దగ్గరుండి	దగ్గర
దయ	దయ
దర్పణాలు	దర్పణం
దాంతో	దాని
దాటగానే	దాటు
దాటాలి	దాటు
దాటింది	దాటు
దాదాపు	దాదాపు
దానికి	దాని
దానిని	దాన్ని
దాన్ని	దాన్ని
దాన్లో	దాన్లో
దారి	దారి
దారినే	దారి
దారుణంగా	దారుణం
దారుణాలు	దారుణము
దించుకున్నాడు	దించు
దిగరా	దిగు
దిగారు	దిగు
దిగాలనే	దిగు
దిగి	దిగు
దిగితే	దిగు
దిగుతోంటే	దిగు
దిగులుగా	దిగులు
దిగేయడం	దిగు
దీంతో	దీంతో
దీన్ని	దీన్ని
దీన్నే	దీన్నే
దుందుడుకు	దుందుడుకు
దుందుడుకుతనం	దుందుడుకు
దుబారా	దుబారా
దుర్గమ్మని	దుర్గ
దుర్ఘటన	దుర్ఘటన
దుర్మార్గులు	దుర్మార్గం
దూరం	దూరం
దూరంగా	దూరము
దూసుకెళ్లమంది	దూసుకెళ్ళు
దృష్టిలో	దృష్టి
దెబ్బకి	దెబ్బ
దేవుడి	దేవుడు
దేవుడు	దేవుడు
దేశానికి	దేశం
దొరికిన	దొరకు
దొరుకుతుందేమో	దొరుకు
ద్వారా	ద్వారా
ధనం	ధనం
ధర్మం	ధర్మం
ధార	ధార
ధారపోస్తున్నామని	ధారపోయు
ధారాపురంలో	ధారాపురం
ధీమా	ధీమా
ధైర్యం	ధైర్యం
ధైర్యంగా	ధైర్యం
ధోరణితో	ధోరణి
నచ్చని	నచ్చు
నచ్చితే	నచ్చు
నడుం	నడుం
నది	నది
నదిలో	నది
