­ఊహించలేరు	ఊహ లేదు
ఇప్పుడేమన్నా	ఇప్పుడు అను
ఇరవై	ఇరవై
ఇలా	ఇలా
ఇలాంటి	ఇలా
ఇలాగైతేనే	ఇలా అయి
ఇలారా	ఇలా రా
ఇవన్నీ	ఇవి అన్ని
ఇవన్నీ	ఇవి అన్ని
ఇవ్వకుండా	ఇవ్వు
ఇవ్వచ్చు	ఇవ్వు వచ్చు
ఇవ్వదు	ఇవ్వు
ఇవ్వసాగాడు	ఇవ్వు సాగు
ఇవ్వాలి	ఇవ్వు
ఇష్టపడతారు	ఇష్టపడు
ఇష్టాయిష్టాలు	ఇష్టము
ఇష్టుడయ్యాడు	ఇష్టుడు అవ్వు
ఇస్తారు	ఇవ్వు
ఇస్తే	ఇవ్వు
ఈ	ఈ
ఈడైతే	ఈడు అయి
ఈడ్చుకుంటూ	ఈడ్చు
ఈతరం	ఈతరం
ఈయన	ఈయన
ఈలోగా	ఈలో
ఈసారి	ఈసారి
ఉంచుకోవాలి	ఉండు
ఉంటాయ	ఉండు
ఉంటాయి	ఉండు
ఉంటారు	ఉండు
ఉంటుందని	ఉండు అను
ఉంటుందనే	ఉండు అను
ఉంటుంది	ఉండు
ఉంటుందో	ఉండు
ఉంటున్నారు	ఉండు అను
ఉండచ్చు	ఉండు వచ్చు
ఉండడం	ఉండు
ఉండడంతో	ఉండు
ఉండదు	ఉండు
ఉండద్దూ	ఉండు వద్దు
ఉండవచ్చు	ఉండు
ఉండవు	ఉండవు
ఉండవు	ఉండు
ఉండాగలగాలి	ఉండు కలుగు
ఉండాలి	ఉండు
ఉండి	ఉండు
ఉండే	ఉండు
ఉండేది	ఉండు
ఉండేవాడు	ఉండు వాడు
ఉందని	ఉంది అను
ఉందాం	ఉంది
ఉంది	ఉంది
ఉందేమో	ఉంది ఏమి
ఉడుకు	ఉడుకు
ఉత్తేజాన్ని	ఉత్తేజం
ఉత్సాహానికి	ఉత్సాహం
ఉత్సాహాన్ని	ఉత్సాహం
ఉత్సుకత	ఉత్సుకత
ఉదయం	ఉదయం
ఉదారంగా	ఉదారము
ఉదాహరణకు	ఉదాహరణ
ఉద్యోగ	ఉద్యోగము
ఉధృతంగా	ఉధృతం
ఉన్న	ఉన్న
ఉన్నతను	ఉన్నత
ఉన్నతులయినా	ఉన్నత అయి
ఉన్నదని	ఉన్న అను
ఉన్నపుడే	ఉన్న అపుడు
ఉన్నప్పుడు	ఉన్న అపుడు
ఉన్నవారు	ఉన్న వారు
ఉన్నా	ఉన్న
ఉన్నాయని	ఉన్న అను
ఉన్నాయనే	ఉన్న అను
ఉన్నారు	ఉన్న
ఉపన్యాసం	ఉపన్యాసం
ఉపన్యాసాలు	ఉపన్యాసం
ఉపయోగించి	ఉపయోగము
ఉపాధ్యాయులు	ఉపాధ్యాయ
ఉమామహేశ్వరరావు	ఉమామహేశ్వరరావు
ఉరకలు	ఉరక
ఉరకలెత్తించింది	ఉరక ఎత్తు
ఉసిగొల్పింది	ఉసిగొలుపు
ఊపడం	ఊపు
ఊపసాగింది	ఊపు సాగు
ఊపినా	ఊపు
ఊపుతూనే	ఊపు
ఎంత	ఎంత
ఎంతటి	ఎంత
ఎంతుండాలో	ఎంత ఉండు
ఎంతో	ఎంత
ఎందరో	ఎందరు
ఎందుకాగిందా	ఎందుకు ఆగు
ఎందుకింత	ఎందుకు ఇంత
ఎందుకిలా	ఎందుకు ఇలా
ఎక్కడ	ఎక్కడ
ఎక్కడి	ఎక్కడ
ఎక్కడో	ఎక్కడ
ఎక్కి	ఎక్కు
ఎక్కించుకుంటాడో	ఎక్కు
ఎక్కితే	ఎక్కు
ఎక్కువ	ఎక్కువ
ఎక్కువగా	ఎక్కువ
ఎక్కువిస్తే	ఎక్కువ
ఎక్కువై	ఎక్కువ అయి
ఎక్స్‌పరిమెంట్‌	ఎక్స్‌పరిమెంట్‌
ఎగబాకి	ఎగబాకు
ఎగిసిపడే	ఎగిసిపడు
ఎటు	ఎటు
ఎట్నించి	ఎటు నుంచి
ఎడంవైపు	ఎడం వైపు
ఎడాపెడా	ఎడాపెడా
ఎత్తుపల్లాలలో	ఎత్తుపల్లం
ఎత్తుపల్లాలు	ఎత్తుపల్లం
ఎదుగుతాడు	ఎదుగు
ఎదుగుదలకు	ఎదుగు
ఎదుటి	ఎదురు
ఎదుటివాడి	ఎదురు వాడు
ఎదురయ్యే	ఎదురు అవ్వు
ఎదురవుతుంది	ఎదురు అవ్వు
ఎదురవ్వడమే	ఎదురు అవ్వు
ఎదురుకావు	ఎదురు కాదు
ఎదురుగా	ఎదురు
ఎదురుచూస్తూ	ఎదురు చూచు
ఎదురైతే	ఎదురు
ఎదుర్కొంటారు	ఎదుర్చు
ఎదుర్కోగలం	ఎదురు
ఎదుర్కోవడం	ఎదురు
ఎదుర్కోవాలి	ఎదురు
ఎన్నో	ఎన్ని
ఎప్పుడంటే	ఎప్పుడు
ఎప్పుడూ	ఎప్పుడు
ఎప్పుడొస్తామో	ఎప్పుడు
ఎలా	ఎలా
ఎలాంటి	ఎలా
ఎలాంటి	ఎలా
ఎవరి	ఎవరు
ఎవరికి	ఎవరు
ఎవరు	ఎవరు
ఎవరూ	ఎవరు
ఎవరేం	ఎవరు ఏమి
ఎవరైనా	ఎవరు అయి
ఎవరో	ఎవరు
ఎవర్నీ	ఎవరు
ఎస్‌	ఎస్‌
ఏ	ఏ
ఏం	ఏం
ఏంటి	ఏంటి
ఏంటిరా	ఏంటి
ఏంటో	ఏంటి
ఏంది	ఏంటి
ఏందే	ఏంటి
ఏడవకు	ఏడుపు
ఏడవసాగింది	ఏడుపు సాగు
ఏడాదికోసారి	ఏడాది ఒక సారి
ఏడిస్తే	ఏడుపు
ఏడుపు	ఏడుపు
ఏడుస్తూ	ఏడుపు
ఏదన్నా	ఏది అను
ఏది	ఏది
ఏదేదో	ఏది
ఏదైనా	ఏది
ఏదో	ఏది
ఏమరపాటు	ఏమరపాటు
ఏమరుపాటు	ఏమరుపాటు
ఏమిటి	ఏమి
ఏమీ	ఏమీ
ఏమైంది	ఏమట అవ్వు
ఏమో	ఏమీ
ఏయ్	ఏయ్
ఏర్పాట్లు	ఏర్పాటు
ఏళ్ల	ఏళ్ళు
ఏళ్లకే	ఏళ్ళు
ఐ	ఐ
ఐడెంటిటీ	ఐడెంటిటీ
ఐదేళ్లుంటాయి	ఐదు ఏళ్ళు
ఒంగి	ఒంగి
ఒంటిగంట	ఒంటి గంట
ఒక	ఒక
ఒకచేత్తో	ఒక చేయి
ఒకటి	ఒక
ఒకడు	ఒక
ఒకతను	ఒక అతను
ఒకరికి	ఒకరు
ఒకరు	ఒక
ఒకళ్ల	ఒక
ఒకళ్లు	ఒక
ఒకసారి	ఒక సారి
ఒకే	ఒక
ఒకేసారి	ఒక సారి
ఒకో	ఒక
ఒక్క	ఒక్క
ఒక్కటే	ఒక్క
ఒక్కడే	ఒక్క
ఒక్కరూ	ఒక్క
ఒక్కసారి	ఒక్క సారి
ఒక్కసారిగా	ఒక్క సారి
ఒక్కోసారి	ఒక్క సారి
ఒడిదుడుకులను	ఒడిదుడుకు
ఒడిదుడుకులు	ఒడిదుడుకు
ఒడిసి	ఒడిసి
ఒత్తిడితో	ఒత్తిడి
ఒద్దు	ఒద్దు
ఒరేయ్	ఒరేయ్
ఓ	ఓ
ఓటమి	ఓటమి
ఓటమిగా	ఓటమి
ఓటమిని	ఓటమి
ఓదార్పుగా	ఓదార్చు
ఔటర్‌రింగ్‌	ఔటర్‌రింగ్‌
కండబలం	కండ బలం
కచ్చితంగా	కచ్చితం
కట్టడి	కట్టడి
కట్టడీ	కట్టడీ
కట్టుగా	కట్టు
కట్టుబాట్లలో	కట్టుబాట్లు
కడుపుకోత	కడుపు కోత
కదలదు	కదులు
కదా	కద
కదిలి	కదులు
కదిలింది	కదులు
కనిపించడం	కనిపించు
కనిపించడంలేదు	కనిపించు లేదు
కనిపించలేదు	కనిపించు లేదు
కనిపిస్తున్నాయి	కనిపించు ఉండు
కనిపెట్టాడు	కనిపెట్టు
కన్నవాళ్లకి	కన్న వాళ్ళు
కన్నా	కన్న
కన్నీరు	కన్నీరు
కన్నీళ్లు	కన్నీరు
కన్పిస్తారు	కన్పించు
కన్యక	కన్య
కప్పుకుని	కప్పు
కప్పేస్తూ	కప్పు
కర్తవ్యం	కర్తవ్యము
కలకత్తాలో	కలకత్తా
కలకత్తాలోని	కలకత్తా
కలగజేయాలి	కలగ చేయు
కలిగే	కల
కలిసి	కలిసి
కలిసి	కలువు
కలుగుతాయని	కలుగు అని
కల్గిస్తుంది	కల్గు
కళలు	కళ
కళాశాల	కళాశాల
కళాశాలలు	కళాశాల
కళాశాలలో	కళాశాల
కళ్ల	కళ్లు
కళ్లు	కళ్లు
కష్టం	కష్టం
కష్టాల	కష్టం
కసిగా	కసి
కసురుతూ	కసురు
కాంతి	కాంతి
కాకుండా	కాకుండా
కాగానే	కాగా
కాటేసింది	కాటు వేయు
కాదని	కాదు
కాదన్నాడు	కాదు అను
కాదా	కాదు
కాదు	కాదు
కానీ	కాదు
కానీ	కానీ
కామాంధులు	కామ అంధం
కాము	కామ
కారణం	కారణం
కారణంగా	కారణం
కారణమవుతారు	కారణము అవ్వు
కారణమైతే	కారణము అయి
కారణాలు	కారణం
కారణాలు	కారణము
కారాపితే	కారు ఆపు
కారు	కారు
కారుకి	కారు
కారుని	కారు
కారురా	కారు
కారులోంచి	కారు నుంచి
కారొస్తోంది	కారు ఉండు
కార్చని	కార్చు
కార్యక్రమం	కార్యక్రమం
కార్యాచరణలోకి	కార్య ఆచరణ
కార్లు	కారు
కాలక్షేపం	కాలక్షేపం
కాలికి	కాలు
కాలు	కాలు
కాలేజీ	కాలేజీ
కాలేజీలో	కాలేజీ
కాళ్లను	కాలు
కాళ్లు	కాలు
కాళ్లెత్తి	కాలు
కావచ్చు	కావచ్చు
కావడం	కావడం
కావడంతో	కావడం
కావడంలేదు	కావడం లేదు
కావలసింది	కావాలి
కావలించుకున్నాడు	కావలి ఉండు
కావాలంటారు	కావాలి అంటారు
కావాలంటే	కావాలి
కావాలండి	కావాలి
కావాలని	కావాలి
కావాలా	కావాలి
కావాలి	కావాలి
కావాలేమో	కావాలి ఏమి
కాసేపు	కాసేపు
కాస్త	కాస్త
కింద	కింద
కిందపడిపోయేవాడే	కింద పడు వాడు
కిందపడేసి	కింద పడు
కిందపడ్డాడు	కింద పడు
కిందికి	కింద
కిటికీలోంచి	కిటికీ
కిరాయి	కిరాయి
కీచుమంటూ	కీచు అంట
కుంగిపోక	కుంగిపోవు
కుండపోతగా	కుండపోత
కుంతల	కుంతల
కుడికాలు	కుడి కాలు
కుడిచేయి	కుడి చేయి
కుడిపక్క	కుడి పక్క
కుదుపుతో	కుదుపు
కుదుపునకు	కుదుపు
కుదురుగా	కుదురు
కునుకు	కునుకు
కురిసిన	కురువు
కురుస్తున్న	కురువు
కురుస్తోంది	కురువు
కురుస్తోందేంటో	కురువు ఏమిటి
కుర్చీ	కుర్చీ
కూడా	కూడా
కూతురు	కూతురు
కూతురైనా	కూతురు
కూరుకుపోతున్న	కూరుకు పోవు
కూర్చుంటే	కూర్చు
కూర్చుంది	కూర్చు
కూర్చుని	కూర్చు
కూర్చున్న	కూర్చొను
కూర్చున్నతనితో	కూర్చు అతను
కూర్చున్నతను	కూర్చొను అతను
కూర్చున్నాడు	కూర్చు
కూర్చున్నారు	కూర్చు
కృషి	కృషి
కృష్ణా	కృష్ణా
కృష్ణానది	కృష్ణా నది
కెరటాలకు	కెరటం
కెరటాలు	కెరటం
కెరటాల్ని	కెరటం
కెవ్వుమంటూ	కెవ్వు
కెవ్వుమంది	కెవ్వు
కేంద్రీయ	కేంద్ర
కేరెక్టర్	కేరెక్టర్
కేర్‌	కేర్‌
కొంచెం	కొంచెం
కొంత	కొంత
కొందరు	కొందరు
కొట్టాను	కొట్టు
కొట్టింది	కొట్టు
కొట్టిన	కొట్టు
కొట్టుకుంటున్న	కొట్టు ఉండు
కొడకా	కొడుకు
కొడతాను	కొట్టు
కొడుకు	కొడుకు
కొడుతున్న	కొట్టు ఉండు
కొడుతున్నాడు	కొట్టు
కొత్త	కొత్త
కొద్ది	కొద్ది
కొనసాగుతాయి	కొనసాగు
కొని	కొని
కొని	కొను
కొన్ని	కొన్ని
కొలతలని	కొలత
కొలతలు	కొలత
కొలబద్దనే	కొలబద్ద
కొలమా	కొలమానం
కొలమానాన్ని	కొలమానం
కొలవసాగాడు	కొలుచు సాగు
కొలిచి	కొలుచు
కొలిచే	కొలత
కొలిచేది	కొలుచు
కొలుచుకుంటారు	కొలుచు
కొలుస్తాను	కొలుచు
కోట్లకి	కోట్లు
కోపం	కోపం
కోరి	కోరిక
కోరింది	కోరిక
కోరుకోవడం	కోరుకొను
కోలాహలం	కోలాహలం
కోసం	కోసం
కోసమే	కోసము
కోసమో	కోసము
కౌన్సిలింగ్‌	కౌన్సిల్‌
క్రమశిక్షణ	క్రమశిక్షణ
క్రీడాకారులకు	క్రీడా
క్రూర	క్రూర
క్రూరులెవరో	క్రూర ఎవరు
క్రెస్కోగ్రాఫ్	క్రెస్కోగ్రాఫ్
క్రైమ్	క్రైమ్
క్రైసిస్‌	క్రైసిస్‌
క్లాస్‌లో	క్లాస్‌
క్షణం	క్షణం
క్షణాల్లోనే	క్షణం
క్షేమంగా	క్షేమం
ఖాళీగా	ఖాళీ
ఖ్యాతిని	ఖ్యాతి
గంటల	గంట
గంటలకి	గంట
గండం	గండం
గందరగోళంగా	గందరగోళము
గజాలు	గజం
గట్టి	గట్టి
గట్టిగా	గట్టి
గడించాడు	గడించు
గడించాలంటే	గడించు
గడిచింది	గడించు
గడిపినవాడే	గడుపు వాడు
గణాంక	గణాంక
గత	గత
గమనించండి	గమనించు
గమనించి	గమనించు
గమనించిన	గమనించు
గమనించినా	గమనించు
గల	గల
గాక	గాక
గాజు	గాజు
గానీ	గానీ
గాయం	గాయం
గిచ్చి	గిచ్చు
గిలగిలా	గిలగిల
గీత	గీత
గీతదాకా	గీత దాకా
గీశాడు	గీయు
గుండెల	గుండె
గుంపు	గుంపు
గుచ్చుకుని	గుచ్చు
గుణం	గుణం
గుద్దాడు	గుద్దు
గుద్దింది	గుద్దు
గుద్దుతున్నాడు	గుద్దు ఉండు
గుమికూడిన	గుమి కూడు
గుమిగూడి	గుమి కూడు
గురించి	గురించి
గుర్తించలేరు	గుర్తించు లేదు
గుర్తించే	గుర్తించు
గుర్తు	గుర్తు
గుర్తుంచుకోవాలి	గుర్తు
గుర్తుగా	గుర్తు
గుర్తుగా	గుర్తు
గుర్తొచ్చాయి	గుర్తు వచ్చు
గెలిచినట్టు	గెలుపు
గెలుపుగా	గెలుపు
గైడ్‌ని	గైడ్
గొంతుతో	గొంతు
గొప్పవాడని	గొప్ప వాడు అని
గొప్పవారో	గొప్ప
గోడ	గోడ
గోడకి	గోడ
గోతిలో	గోతి
గోలా	గోల
గోళ్లు	గోరు
గౌరవం	గౌరవం
గౌరవించింది	గౌరవించు
గ్రంథాలు	గ్రంథము
గ్రామ	గ్రామం
గ్రామదేవత	గ్రామదేవత
గ్రామస్థులందరూ	గ్రామస్థి
గ్రామస్థులతో	గ్రామస్థి
గ్రామస్థులు	గ్రామస్థి
గ్లాస్	గ్లాసు
ఘోరానికి	ఘోరము
ఘోరాలు	ఘోరము
చంద్రబోస్	చంద్రబోస్
చచ్చాడో	చచ్చెను
చదివారు	చదువు
చదివే	చదువు
చదివేది	చదివేది
చదువు	చదువు
చదువుకున్న	చదువు
చదువుకున్నా	చదువు
చదువుకున్నారు	చదువు
చదువుకోవాలి	చదువు
చదువుతూ	చదువు
చనిపోతున్న	చనిపోవు
చనిపోయిన	చనిపోవు
చప్పట్లు	చప్పట్లు
చరిచి	చరుచు
చరిత్ర	చరిత్ర
చరిత్రలో	చరిత్ర
చర్చిస్తుండగా	చర్చ
చర్యలకూ	చర్య
చల్లగా	చల్ల
చల్లుతున్నాడు	చల్లు
చాక్‌పీస్‌తో	చాక్‌పీస్‌
చాచి	చాచి
చాలా	చాలా
చాలామంది	చాలా మంది
చాలామంది	చాలామంది
చాలాసార్లు	చాలా
చావడు	చావు
చిందరవందరగా	చిందరవందర
చికాకొచ్చింది	చికాకు
చిక్కగా	చిక్క
చిక్కటి	చిక్క
చిక్కుకుంటూనే	చిక్కు
చిక్కుకుపోయారు	చిక్కు పోవు
చితకబాదేస్తున్నారు	చితకబాదు ఉండు
చిత్తశుద్ధితో	చిత్తశుద్ధి
చిన్న	చిన్న
చిన్నతనం	చిన్న
చిన్నప్పటి	చిన్న
చిన్నప్పుడెప్పుడో	చిన్న అప్పుడు ఎప్పుడు
చిరాగ్గా	చిరాకు
చిరాయువు	చిరాయువు
చిరు	చిరు
చిర్రెత్తింది	చిర్రెత్తు
చిల్లర	చిల్లర
చివరకు	చివర
చీకటిగా	చీకటి
చీకట్లో	చీకటి
చుట్టూ	చుట్టూ
చున్నీ	చున్నీ
చురుగ్గా	చురుకు
చూడక	చూడు
చూడలేదు	చూడు లేదు
చూడలేదో	చూడు లేదు
చూడసాగింది	చూడు సాగు
చూడాల్సి	చూడు
చూడొద్దు	చూడు
చూద్దాం	చూడు
చూపించకపోవడం	చూపించు పోవు
చూళ్లెదేమోలే	చూడు ఏమి
చూశాడు	చూడు
చూసి	చూడు
చూసినా	చూడు
చూసుకుంటాడు	చూడు
చూసుకున్నారు	చూడు
చూసుకోండి	చూడు
చూస్తుంటే	చూడు
చూస్తున్నారు	చూడు
చూస్తూ	చూడు
చూస్తూండగానే	చూడు ఉండు
చూస్తే	చూడు
చెట్లు	చెట్టు
చెడు	చెడు
చెడుని	చెడు
చెడో	చెడు
చెడ్డవారికి	చెడు
చెడ్డవారు	చెడు
చెప్తుంటే	చెప్పు
చెప్పగలగాలి	చెప్పు కలుగు
చెప్పగానే	చెప్పు
చెప్పడంతో	చెప్పు
చెప్పమని	చెప్పు
చెప్పాడు	చెప్పు
చెప్పారు	చెప్పు
చెప్పాలి	చెప్పు
చెప్పింది	చెప్పు
చెప్పినా	చెప్పి
చెప్పు	చెప్పు
చెప్పుకునేవాడు	చెప్పు వాడు
చెప్పుకోవచ్చు	చెప్పు వచ్చు
చెప్పుతో	చెప్పు
చెప్పే	చెప్పు
చెప్పేది	చెప్పు
చెప్పొచ్చు	చెప్పు వచ్చు
చెబుతున్న	చెప్పు ఉండు
చెబుతూ	చెప్పు
చెబుతూనే	చెప్పు
చెయ్యకూడదో	చెయ్యి కూడదు
చెయ్యడం	చెయ్యి
చెయ్యని	చెయ్యి
చెలరేగే	చెలరేగు
చెల్లించాలి	చెల్లించు
చెల్లెలికన్నా	చెల్లెలు
